frame,time_s,gaze_status,left_eye_status,right_eye_status,left_eye_openness,right_eye_openness,focus_distance,focus_stability,gaze_valid,left_eye_valid,right_eye_valid,blink_left,blink_right,focus_distance_sentinel,focus_out_of_bounds,focus_unstable,in_invalid_run,invalid_run_id
725503,1.759285,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725504,1.7642975,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725505,1.76931,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725506,1.7743359,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725507,1.7793425,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725508,1.7843533,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725509,1.7893599,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725510,1.7943707,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725511,1.7993815,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725512,1.8043881,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725513,1.8093798,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725514,1.8143806,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725515,1.8194009,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725516,1.8244292,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725517,1.8294449,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725518,1.8344515,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725519,1.8394623,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725520,1.8444689,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725521,1.8495017,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725522,1.8545083,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725523,1.8595191,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725524,1.8645331,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725525,1.8695431,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725526,1.8745531,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725527,1.8795982,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725528,1.884609,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725529,1.889619,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725530,1.8946298,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725531,1.8996398,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725532,1.9046815,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725533,1.9096915,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725534,1.9146637,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725535,1.9196531,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725536,1.9246651,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725537,1.9296837,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725538,1.9346918,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725539,1.9397028,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725540,1.9447128,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725541,1.9497272,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725542,1.9547353,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725543,1.9597752,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725544,1.9647833,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725545,1.9697646,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725546,1.9747802,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725547,1.9798079,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725548,1.9848339,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725549,1.9898364,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725550,1.9948474,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725551,1.9998555,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725552,2.0048724,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725553,2.0098805,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725554,2.0148886,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725555,2.0199012,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725556,2.0249093,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725557,2.0299174,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725558,2.034941,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
725559,2.03995,INVALID,INVALID,INVALID,,,,,false,false,false,false,false,false,false,false,true,2
